seqID	mt	X	Y	total_reads	gcc_reads
GLRGC0128	1795	677535	82232	26830002	26889350
GLRGC0065	1591	717645	84128	28485323	28542597
GLRHD0895	2178	984022	117559	38927290	38979223
GLRGCP0002	2635	589120	67643	23883908	23907746
GLRGC0296	2517	584510	68443	23140511	23171655
GLRGC0379	13287	833135	103544	33554719	33602054
GLRHD0696	2970	496222	57887	19949243	19992964
GLRGC0279	2894	566781	66135	22479636	22522648
GLRHD0931	1106	1393205	8082	28066404	28126155
GLRHD0093	1810	1285816	7794	27876102	27923650
GLRHD0609	2752	590539	72457	23522151	23580576
GLRLC0031	3486	526149	64802	21281152	21319900
GLRHD0762	763	607572	72084	24410387	24456635
GLRTC0032	1242	1361702	7646	27854814	27917687
GLMHD1031	721	1016127	6386	21248842	21297094
GLRHD0717	1406	1243735	7017	24957789	24994471
GLRHD0608	2740	858012	95304	34478355	34538081
GLRGC0429	2398	571961	67974	23064127	23100448
GLRGC0224	1031	503857	57950	19376646	19410097
GLRHD0511	2341	691745	82194	27867490	27891127
GLRHD0488	10144	1336214	7771	27260199	27324844
GLRHD0735	2582	1081975	7711	22888892	22925067
GLRHD0802	3449	538335	61651	21732855	21782474
GLRGC0203	505	701638	83224	27803490	27867802
GLRGC0260	5715	607555	65906	24461412	24510786
GLRGC0122	7181	734857	82580	29083398	29114707
GLRGC0132	2408	815026	95581	32591976	32689157
GLRGC0058	3100	612280	71240	24648827	24673786
GLRGC0006	1075	785912	92478	31302701	31351722
GLRHD0806	2726	685165	82808	26983399	27029813
GLRHD0625	976	1680473	19489	36165087	36198174
GLRHD0783	722	1676309	9262	34642430	34688331
GLRHD0658	3981	501715	60011	20072666	20114656
GLRHD0860	6029	842902	98952	34389977	34397773
GLRCRC0011	1246	631179	76546	25346068	25375175
GLRHD0825	1053	1226831	7547	24670715	24730221
GLRGC0283	779	1424691	12249	29300709	29353472
GLRHD0745	2331	539158	62600	21706783	21758763
GLRHD0772	1771	632316	74699	25474883	25514239
GLRGC0351	1663	1419859	8821	30183318	30221366
GLRHD0820	2097	600830	69399	24579044	24633996
GLRGC0423	1254	731956	84185	28940419	28989462
GLRGC0393	1956	2086604	14440	41926060	42027380
GLRHD0837	15444	3549539	25249	74735494	74801136
GLRGC0174	2679	537941	62294	20964125	21009429
GLRCRC0125	2907	793080	90974	32199898	32226763
GLRHD0838	2232	2216413	15391	46369514	46460868
GLRHD0880	849	1137099	6579	23824024	23860167
GLRGC0141	3031	631557	73681	25201810	25240070
GLRGC0419	873	721434	84175	29171070	29229548
CRLR0010	914	1017624	6012	20744880	20766558
GLRHD0827	3185	610199	69236	24701093	24750859
GLRHD0900	1251	1084142	8743	22542738	22572575
CRLG0009	41412	1704376	13724	39535213	39376463
GLRHD0899	3203	1203225	8163	24267524	24321167
GLRGC0447	10613	680899	80561	26966707	26990179
GLRHD0873	3248	1389300	8500	27334949	27412451
GLRCRC0050	2691	1260693	8965	26393482	26448489
GLRGC0463	3137	1482189	10247	32050703	32167654
GLRHD0697	1248	789881	91786	31248968	31320440
GLRHD0870	2957	736996	82337	29175903	29235891
GLRHD0653	2329	1172071	8190	23721029	23768403
GLRHD0484	1400	616067	72039	24516203	24575729
GLRHD0771	2170	1163655	8442	23414902	23464432
GLRGC0476	1896	835253	95870	33211644	33263327
GLRGC0438	6087	811125	95549	32337339	32376361
GLRGC0191	7123	702500	80659	27917812	27987452
GLRGC0460	3433	704661	76725	28087798	28122416
GLGHD1002	32216	1404922	11506	28295538	28291529
GLMHD1016	1324	963829	6007	19810566	19840268
GLRHD0892	7502	547761	62668	21797547	21849069
GLRHD0450	1860	1221655	6609	25446317	25486671
GLRHD0876	937	1021755	6802	21187475	21228017
GLRHD0538	1402	1255867	7225	25912063	25967934
GLRGC0012	2015	574398	69725	22972507	22997753
GLRGC0269	766	1202058	8008	24279990	24350640
GLRLC0068	1076	700532	80043	28120934	28176817
GLRHD0042	967	1118181	7532	23767840	23819991
GLRHD0883	1107	1072818	5636	21764982	21837130
GLRHD0741	2417	811370	101372	32574247	32602851
GLRGC0314	3894	1516444	11498	32337188	32371256
GLRHD0092	2343	586725	67972	23581097	23624996
GLRHD0727	3199	1188549	5292	23372405	23439278
GLRTC0035	3032	587231	69503	23454230	23486190
GLRHD0763	4161	559847	64293	22558032	22586986
GLRGC0392	4580	772251	90401	30395622	30464973
GLRBC0030	1242	1077859	6129	22749816	22808108
GLRGC0170	3333	1589009	12899	32546892	32622055
GLRHD0734	2158	1322463	7532	26519252	26562406
GLRGC0396	4283	1765092	12054	36303333	36419476
GLRGC0202	3295	823425	90166	33371366	33370385
GLRHD0940	1224	1293944	7442	26575541	26637965
GLRHD0628	898	634132	74444	25219808	25289655
GLRHD0780	4496	694678	77953	28026970	28076028
GLRHD0627	1763	1342735	8565	26684167	26744397
GLRHD0682	1217	591659	67833	23529084	23578193
GLRHD0882	696	692310	84688	27403552	27476755
GLRGC0163	2783	704047	81007	28535818	28545704
GLRHD0614	1480	743179	90300	29595228	29676044
GLRGC0343	3074	1375068	10156	28164935	28208571
GLRHD0933	3442	1218791	6816	24496518	24549669
GLRCRC0122	1497	1274421	7342	26289168	26336532
GLRGC0375	1904	463547	51036	17561414	17594918
GLRHD0884	2466	1026142	6915	21015976	21076214
GLRHD0777	1643	666586	74983	26177683	26263969
GLRGC0342	2695	632041	74146	24934395	25003790
GLRHD0746	755	690745	84235	27536030	27581628
GLRHD0666	1697	1328887	10414	27149445	27185375
GLRGC0299	7948	1049494	105086	43036679	43084866
GLRHD0868	472	736478	84142	29512399	29580709
GLRHD0655	1889	657313	75283	26171796	26269610
GLRHD0893	2540	1178792	6723	23734668	23774108
GLRHD0432	1017	680448	76845	26877928	26910523
GLRGC0308	2857	896391	103475	35969689	36019717
GLRHD0785	1180	1143073	7229	23786665	23848528
GLRHD0595	2540	588550	62634	23928809	23992542
GLRHD0509	3812	1421109	7739	29230534	29272904
GLRGC0322	2479	559837	66320	22334464	22371407
