type,AUC,AUC-ALL,top_feature,n_pcas,cb_AUC,lr_AUC,90%.sens-I,90%.sens-II,90%.sens-III,90%.sens,90%.spec,95%.sens-I,95%.sens-II,95%.sens-III,95%.sens,95%.spec,98%.sens-I,98%.sens-II,98%.sens-III,98%.sens,98%.spec
TRAIN_CV,0.806047,0.806047,810,0,0.8309936575052854,0.7420718816067653,0.471,0.545,0.478,0.484,0.905,0.346,0.424,0.478,0.386,0.955,0.199,0.212,0.217,0.205,0.982
TRAIN_CV,0.832452,0.832452,830,0,0.8520295983086681,0.7589217758985201,0.574,0.606,0.565,0.577,0.905,0.331,0.394,0.413,0.358,0.955,0.287,0.364,0.37,0.316,0.982
TRAIN_CV,0.805729,0.805729,800,0,0.8390486257928118,0.7379915433403805,0.537,0.545,0.522,0.535,0.905,0.426,0.394,0.457,0.428,0.955,0.309,0.333,0.413,0.335,0.982
TRAIN_CV,0.829979,0.829979,850,0,0.8489217758985202,0.7611205073995772,0.529,0.576,0.543,0.54,0.905,0.353,0.485,0.457,0.395,0.955,0.257,0.394,0.435,0.316,0.982
TRAIN_CV,0.827188,0.827188,840,0,0.8468498942917546,0.7591754756871036,0.522,0.576,0.543,0.535,0.905,0.368,0.485,0.457,0.405,0.955,0.272,0.394,0.37,0.312,0.982
TRAIN_CV,0.822495,0.822495,860,0,0.8376321353065539,0.762367864693446,0.493,0.545,0.522,0.507,0.905,0.368,0.424,0.413,0.386,0.955,0.279,0.303,0.348,0.298,0.982
TRAIN_CV,0.837822,0.837822,880,0,0.8529598308668076,0.772262156448203,0.493,0.576,0.522,0.512,0.905,0.397,0.515,0.478,0.433,0.955,0.272,0.364,0.348,0.302,0.982
TRAIN_CV,0.830951,0.830951,870,0,0.8479492600422833,0.7684566596194502,0.522,0.576,0.565,0.54,0.905,0.375,0.455,0.457,0.405,0.955,0.287,0.333,0.391,0.316,0.982
TRAIN_CV,0.841459,0.841459,890,0,0.8541014799154334,0.7771035940803384,0.566,0.576,0.565,0.567,0.905,0.426,0.485,0.5,0.451,0.955,0.294,0.364,0.37,0.321,0.982
TRAIN_CV,0.841586,0.841586,900,0,0.8517758985200846,0.7789217758985201,0.551,0.606,0.565,0.563,0.905,0.404,0.485,0.413,0.419,0.955,0.287,0.364,0.348,0.312,0.982
TRAIN_CV,0.848076,0.848076,910,0,0.8597885835095136,0.7811839323467229,0.603,0.606,0.543,0.591,0.905,0.456,0.485,0.522,0.474,0.955,0.309,0.364,0.326,0.321,0.982
TRAIN_CV,0.852008,0.852008,920,0,0.8603171247357294,0.7867441860465115,0.574,0.606,0.587,0.581,0.905,0.397,0.455,0.522,0.433,0.955,0.346,0.455,0.5,0.395,0.982
TRAIN_CV,0.853277,0.853277,940,0,0.8646300211416492,0.7868921775898519,0.574,0.576,0.565,0.572,0.905,0.434,0.515,0.543,0.47,0.955,0.294,0.273,0.391,0.312,0.982
TRAIN_CV,0.846744,0.846744,930,0,0.8550528541226216,0.7850739957716704,0.551,0.606,0.565,0.563,0.905,0.404,0.424,0.478,0.423,0.955,0.324,0.364,0.457,0.358,0.982
TRAIN_CV,0.849112,0.849112,950,0,0.8587315010570824,0.7880549682875264,0.5,0.545,0.543,0.516,0.905,0.412,0.455,0.522,0.442,0.955,0.382,0.455,0.435,0.405,0.982
TRAIN_CV,0.850846,0.850846,960,0,0.8539323467230445,0.7924524312896407,0.559,0.515,0.522,0.544,0.905,0.397,0.424,0.478,0.419,0.955,0.324,0.303,0.391,0.335,0.982
TRAIN_CV,0.856575,0.856575,990,0,0.8608456659619451,0.7983298097251585,0.515,0.545,0.543,0.526,0.905,0.412,0.424,0.478,0.428,0.955,0.324,0.394,0.413,0.353,0.982
TRAIN_CV,0.850761,0.850761,970,0,0.8548625792811839,0.7934672304439747,0.581,0.455,0.587,0.563,0.905,0.426,0.455,0.543,0.456,0.955,0.279,0.303,0.413,0.312,0.982
TRAIN_CV,0.854947,0.854947,980,0,0.8592177589852007,0.7961945031712474,0.5,0.515,0.543,0.512,0.905,0.426,0.455,0.5,0.447,0.955,0.287,0.394,0.413,0.33,0.982
TRAIN_CV,0.856934,0.856934,1000,0,0.8580338266384778,0.8011627906976744,0.603,0.515,0.63,0.595,0.905,0.397,0.455,0.478,0.423,0.955,0.316,0.333,0.391,0.335,0.982
TRAIN_CV,0.663848,0.663848,10,0,0.6606553911205075,0.591585623678647,0.309,0.394,0.326,0.326,0.905,0.191,0.182,0.196,0.191,0.955,0.022,0.03,0.022,0.023,0.982
TRAIN_CV,0.657569,0.657569,20,0,0.6608033826638479,0.586997885835095,0.257,0.182,0.239,0.242,0.905,0.184,0.121,0.13,0.163,0.955,0.044,0.061,0.043,0.047,0.982
TRAIN_CV,0.664313,0.664313,30,0,0.6857928118393235,0.5703594080338266,0.324,0.333,0.304,0.321,0.905,0.191,0.152,0.13,0.172,0.955,0.059,0.061,0.022,0.051,0.982
TRAIN_CV,0.663319,0.663319,40,0,0.6809936575052854,0.5759408033826638,0.279,0.273,0.283,0.279,0.905,0.176,0.182,0.13,0.167,0.955,0.154,0.152,0.087,0.14,0.982
TRAIN_CV,0.696765,0.696765,50,0,0.7204228329809724,0.5920084566596194,0.324,0.303,0.348,0.326,0.905,0.206,0.182,0.109,0.181,0.955,0.125,0.121,0.043,0.107,0.982
TRAIN_CV,0.699577,0.699577,60,0,0.7328329809725158,0.5776532769556026,0.265,0.242,0.196,0.247,0.905,0.169,0.121,0.087,0.144,0.955,0.088,0.091,0.087,0.088,0.982
TRAIN_CV,0.693531,0.693531,70,0,0.7386680761099366,0.5538900634249471,0.221,0.242,0.196,0.219,0.905,0.147,0.152,0.152,0.149,0.955,0.103,0.061,0.13,0.102,0.982
TRAIN_CV,0.697442,0.697442,80,0,0.7428964059196618,0.5693023255813953,0.243,0.273,0.217,0.242,0.905,0.147,0.121,0.109,0.135,0.955,0.096,0.091,0.109,0.098,0.982
TRAIN_CV,0.690994,0.690994,90,0,0.7486680761099365,0.5552854122621566,0.243,0.242,0.196,0.233,0.905,0.176,0.212,0.152,0.177,0.955,0.081,0.091,0.087,0.084,0.982
TRAIN_CV,0.680994,0.680994,100,0,0.7423678646934461,0.5454756871035941,0.257,0.303,0.152,0.242,0.905,0.154,0.182,0.109,0.149,0.955,0.088,0.061,0.043,0.074,0.982
TRAIN_CV,0.672854,0.672854,110,0,0.7578012684989429,0.5242494714587738,0.206,0.303,0.13,0.205,0.905,0.162,0.212,0.109,0.158,0.955,0.103,0.121,0.087,0.102,0.982
TRAIN_CV,0.663573,0.663573,120,0,0.752600422832981,0.5244186046511629,0.265,0.303,0.196,0.256,0.905,0.147,0.242,0.109,0.153,0.955,0.088,0.182,0.087,0.102,0.982
TRAIN_CV,0.647252,0.647252,130,0,0.7490909090909091,0.5114164904862579,0.243,0.333,0.196,0.247,0.905,0.184,0.303,0.13,0.191,0.955,0.059,0.061,0.087,0.065,0.982
TRAIN_CV,0.668372,0.668372,140,0,0.7704228329809725,0.5268710359408034,0.301,0.303,0.174,0.274,0.905,0.176,0.273,0.152,0.186,0.955,0.132,0.182,0.13,0.14,0.982
TRAIN_CV,0.668224,0.668224,150,0,0.7808245243128964,0.5151585623678647,0.316,0.333,0.326,0.321,0.905,0.176,0.273,0.196,0.195,0.955,0.125,0.212,0.13,0.14,0.982
TRAIN_CV,0.664736,0.664736,160,0,0.7515856236786471,0.5227801268498943,0.265,0.273,0.304,0.274,0.905,0.206,0.212,0.196,0.205,0.955,0.169,0.152,0.13,0.158,0.982
TRAIN_CV,0.644778,0.644778,170,0,0.7564482029598307,0.5082241014799154,0.316,0.333,0.348,0.326,0.905,0.147,0.212,0.196,0.167,0.955,0.088,0.182,0.109,0.107,0.982
TRAIN_CV,0.641903,0.641903,180,0,0.7622198731501058,0.5195348837209302,0.265,0.364,0.217,0.27,0.905,0.199,0.242,0.196,0.205,0.955,0.074,0.061,0.109,0.079,0.982
